Dates,Volume
29/8/01,362289
30/8/01,359544
31/8/01,552332
3/9/01,264268
4/9/01,319569
5/9/01,394360
6/9/01,432994
7/9/01,343413
10/9/01,351087
11/9/01,344362
12/9/01,335468
13/9/01,293509
14/9/01,339992
17/9/01,409623
18/9/01,400842
19/9/01,464215
20/9/01,470462
21/9/01,434353
24/9/01,343663
25/9/01,394146
26/9/01,318527
27/9/01,376767
28/9/01,591792
1/10/01,141853
2/10/01,278193
3/10/01,382579
4/10/01,305863
5/10/01,320173
8/10/01,252306
9/10/01,317665
10/10/01,324199
11/10/01,362213
12/10/01,313980
15/10/01,213624
16/10/01,264969
17/10/01,373330
18/10/01,335019
19/10/01,327825
22/10/01,218660
23/10/01,323781
24/10/01,330455
25/10/01,326835
26/10/01,418084
29/10/01,241216
30/10/01,309315
31/10/01,395652
1/11/01,301526
2/11/01,304268
5/11/01,201864
6/11/01,229556
7/11/01,336173
8/11/01,302665
9/11/01,322566
12/11/01,271901
13/11/01,297193
14/11/01,336509
15/11/01,411706
16/11/01,404794
19/11/01,273072
20/11/01,326442
21/11/01,346906
22/11/01,296672
23/11/01,287291
26/11/01,292681
27/11/01,330788
28/11/01,339220
29/11/01,373417
30/11/01,644043
3/12/01,392114
4/12/01,350980
5/12/01,298019
6/12/01,466927
7/12/01,339656
10/12/01,365383
11/12/01,345520
12/12/01,374447
13/12/01,275102
14/12/01,296176
17/12/01,302945
18/12/01,292420
19/12/01,293103
20/12/01,219606
21/12/01,463245
24/12/01,99385
27/12/01,113569
28/12/01,128658
31/12/01,189484
2/1/02,124361
3/1/02,195079
4/1/02,254653
7/1/02,266604
8/1/02,314951
9/1/02,318613
10/1/02,394162
11/1/02,342219
14/1/02,315617
15/1/02,346210
16/1/02,344356
17/1/02,330841
18/1/02,284634
21/1/02,234382
22/1/02,340605
23/1/02,386357
24/1/02,415393
25/1/02,538175
29/1/02,351523
30/1/02,353958
31/1/02,337289
1/2/02,357834
4/2/02,283320
5/2/02,379315
6/2/02,460244
7/2/02,441041
8/2/02,407917
11/2/02,327845
12/2/02,366576
13/2/02,301270
14/2/02,338713
15/2/02,426934
18/2/02,337560
19/2/02,356715
20/2/02,433102
21/2/02,444886
22/2/02,622953
25/2/02,269449
26/2/02,309646
27/2/02,459856
28/2/02,426555
1/3/02,406708
4/3/02,423413
5/3/02,474616
6/3/02,434106
7/3/02,430858
8/3/02,390276
11/3/02,314618
12/3/02,377572
13/3/02,323216
14/3/02,290790
15/3/02,367024
18/3/02,260411
19/3/02,340558
20/3/02,289801
21/3/02,325391
22/3/02,265425
25/3/02,250397
26/3/02,386528
27/3/02,382024
28/3/02,542907
2/4/02,305761
3/4/02,524709
4/4/02,378204
5/4/02,271413
8/4/02,245005
9/4/02,360612
10/4/02,282673
11/4/02,309607
12/4/02,336220
15/4/02,255331
16/4/02,355672
17/4/02,306420
18/4/02,352226
19/4/02,349501
22/4/02,282470
23/4/02,297125
24/4/02,393404
26/4/02,467182
29/4/02,279147
30/4/02,428553
1/5/02,327780
2/5/02,392500
3/5/02,435307
6/5/02,313621
7/5/02,397752
8/5/02,362815
9/5/02,462301
10/5/02,287202
13/5/02,250968
14/5/02,289383
15/5/02,464162
16/5/02,403486
17/5/02,305649
20/5/02,328907
21/5/02,333402
22/5/02,334606
23/5/02,330013
24/5/02,299365
27/5/02,292353
28/5/02,308969
29/5/02,418790
30/5/02,412208
31/5/02,681557
3/6/02,324750
4/6/02,311074
5/6/02,416958
6/6/02,403202
